"#","Feature","Partition","nbins","Time Cost Median","Time Cost Low Quartile","Time Cost High Quartile","Time Cost Low Whisker","Time Cost High Whisker","Group"
0," DLLs_1","B",,6.64E-07,6.11E-07,7.14E-07,5.60E-07,8.68E-07,"Metadata ME"
1," DLLs_2","B",,6.64E-07,6.11E-07,7.14E-07,5.60E-07,8.68E-07,"Metadata ME"
2," DLLs_3","B",,6.64E-07,6.11E-07,7.14E-07,5.60E-07,8.68E-07,"Metadata ME"
3," DLLs_4","B",,6.64E-07,6.11E-07,7.14E-07,5.60E-07,8.68E-07,"Metadata ME"
4," DLLs_5","B",,6.64E-07,6.11E-07,7.14E-07,5.60E-07,8.68E-07,"Metadata ME"
5," DLLs_6","B",,6.64E-07,6.11E-07,7.14E-07,5.60E-07,8.68E-07,"Metadata ME"
6," DLLs_7","B",,6.64E-07,6.11E-07,7.14E-07,5.60E-07,8.68E-07,"Metadata ME"
7," DLLs_8","B",,6.64E-07,6.11E-07,7.14E-07,5.60E-07,8.68E-07,"Metadata ME"
8," Checksum","Q",4,6.64E-07,6.11E-07,7.14E-07,5.60E-07,8.68E-07,"Metadata ME"
9," Image_Base","Q",3,6.64E-07,6.11E-07,7.14E-07,5.60E-07,8.68E-07,"Metadata ME"
10," Base_of_Code","Q",6,6.64E-07,6.11E-07,7.14E-07,5.60E-07,8.68E-07,"Metadata ME"
11," OS_Major_version","Q",3,6.64E-07,6.11E-07,7.14E-07,5.60E-07,8.68E-07,"Metadata ME"
12," OS_Minor_version","Q",4,6.64E-07,6.11E-07,7.14E-07,5.60E-07,8.68E-07,"Metadata ME"
13," Size_of_Image","Q",10,6.64E-07,6.11E-07,7.14E-07,5.60E-07,8.68E-07,"Metadata ME"
14," Size_of_Code","Q1",9,6.64E-07,6.11E-07,7.14E-07,5.60E-07,8.68E-07,"Metadata ME"
15," Headers","N",,6.64E-07,6.11E-07,7.14E-07,5.60E-07,8.68E-07,"Metadata ME"
16," Size_Of_InitializedData","Q1",9,6.64E-07,6.11E-07,7.14E-07,5.60E-07,8.68E-07,"Metadata ME"
17," Size_Of_UninitializedData","Q1",4,6.64E-07,6.11E-07,7.14E-07,5.60E-07,8.68E-07,"Metadata ME"
18," Size_Of_StackReserve","Q",4,6.64E-07,6.11E-07,7.14E-07,5.60E-07,8.68E-07,"Metadata ME"
19," Size_of_Stack_Commit","Q",15,6.64E-07,6.11E-07,7.14E-07,5.60E-07,8.68E-07,"Metadata ME"
20," Section_Alignment","N",,6.64E-07,6.11E-07,7.14E-07,5.60E-07,8.68E-07,"Metadata ME"
21," number_of_standards_sections_PE_holds","N",,2.38E-05,1.79E-05,3.06E-05,1.16E-05,4.97E-05,"Section SE"
22," number_of_non-standards_sections_PE_holds","N",,2.38E-05,1.79E-05,3.06E-05,1.16E-05,4.97E-05,"Section SE"
23," ratio_between_number_of_standards_sections_found_and_number_of_all_sections_found_in_PE_under_analysis","Q5",8,2.38E-05,1.79E-05,3.06E-05,1.16E-05,4.97E-05,"Section SE"
24," number_of_Executable_sections_PE_holds","F",5,2.38E-05,1.79E-05,3.06E-05,1.16E-05,4.97E-05,"Section SE"
25," number_of_Writable_sections_PE_holds","Q",7,2.38E-05,1.79E-05,3.06E-05,1.16E-05,4.97E-05,"Section SE"
26," number_of_Writable_and_Executable_sections_PE_holds","F",5,2.38E-05,1.79E-05,3.06E-05,1.16E-05,4.97E-05,"Section SE"
27," number_of_readable_and_executable_sections","F",5,2.38E-05,1.79E-05,3.06E-05,1.16E-05,4.97E-05,"Section SE"
28," number_of_readable_and_writable_sections","Q",8,2.38E-05,1.79E-05,3.06E-05,1.16E-05,4.97E-05,"Section SE"
29," number_of_Writable_and_Readable_and_Executable_sections_PE_holds","F",5,2.38E-05,1.79E-05,3.06E-05,1.16E-05,4.97E-05,"Section SE"
30," code_section_is_not_executable","B",,2.38E-05,1.79E-05,3.06E-05,1.16E-05,4.97E-05,"Section SE"
31," executable_section_is_not_a_code_section","B",,2.38E-05,1.79E-05,3.06E-05,1.16E-05,4.97E-05,"Section SE"
32," code_section_is_not_present_in_PE_under_analysis","B",,2.38E-05,1.79E-05,3.06E-05,1.16E-05,4.97E-05,"Section SE"
33," EP_is_not_in_code_section","B",,2.38E-05,1.79E-05,3.06E-05,1.16E-05,4.97E-05,"Section SE"
34," EP_is_not_in_a_standard_section","B",,2.38E-05,1.79E-05,3.06E-05,1.16E-05,4.97E-05,"Section SE"
35," EP_is_not_in_an_executable_section","B",,2.38E-05,1.79E-05,3.06E-05,1.16E-05,4.97E-05,"Section SE"
36," EP_ratio_between_raw_data_and_virtual_size_for_section_of_entry_point","Q",10,2.38E-05,1.79E-05,3.06E-05,1.16E-05,4.97E-05,"Section SE"
37," number_of_sections_having_their_physical_size_=0_(size_on_disk)","F",3,2.38E-05,1.79E-05,3.06E-05,1.16E-05,4.97E-05,"Section SE"
38," number_of_sections_having_their_virtual_size_greater_than_their_raw_data_size","F",7,2.38E-05,1.79E-05,3.06E-05,1.16E-05,4.97E-05,"Section SE"
39," maximum_ratio_raw_data_per_virtual_size_among_all_sections","Q",10,2.38E-05,1.79E-05,3.06E-05,1.16E-05,4.97E-05,"Section SE"
40," minimum_ratio_raw_data_per_virtual_size_among_all_sections","Q1",4,2.38E-05,1.79E-05,3.06E-05,1.16E-05,4.97E-05,"Section SE"
41," address_pointing_to_raw_data_on_disk_is_not_conforming_with_file_alignement","B",,2.38E-05,1.79E-05,3.06E-05,1.16E-05,4.97E-05,"Section SE"
42," entropy_of_Code/text_sections","Q1",4,0.00993818,0.00335284,0.0351854,4.50E-05,0.082931,"Byte Entropy BE"
43," entropy_of_data_section","Q1",4,0.00993818,0.00335284,0.0351854,4.50E-05,0.082931,"Byte Entropy BE"
44," entropy_of_resource_section","Q",10,0.00993818,0.00335284,0.0351854,4.50E-05,0.082931,"Byte Entropy BE"
45," entropy_of_PE_header","Q",6,0.00993818,0.00335284,0.0351854,4.50E-05,0.082931,"Byte Entropy BE"
46," entropy_of_entire_PE_file","Q",10,0.00993818,0.00335284,0.0351854,4.50E-05,0.082931,"Byte Entropy BE"
47," entropy_of_section_holding_Entry_point_(EP)_of_PE_under_analysis","Q",6,0.00993818,0.00335284,0.0351854,4.50E-05,0.082931,"Byte Entropy BE"
48," Entry_Point_Byte_1","N",,6.01E-05,5.49E-05,6.52E-05,4.98E-05,8.05E-05,"Entry Bytes EB"
49," Entry_Point_Byte_2","N",,6.01E-05,5.49E-05,6.52E-05,4.98E-05,8.05E-05,"Entry Bytes EB"
50," Entry_Point_Byte_3","N",,6.01E-05,5.49E-05,6.52E-05,4.98E-05,8.05E-05,"Entry Bytes EB"
51," Entry_Point_Byte_4","N",,6.01E-05,5.49E-05,6.52E-05,4.98E-05,8.05E-05,"Entry Bytes EB"
52," Entry_Point_Byte_5","N",,6.01E-05,5.49E-05,6.52E-05,4.98E-05,8.05E-05,"Entry Bytes EB"
53," Entry_Point_Byte_6","N",,6.01E-05,5.49E-05,6.52E-05,4.98E-05,8.05E-05,"Entry Bytes EB"
54," Entry_Point_Byte_7","N",,6.01E-05,5.49E-05,6.52E-05,4.98E-05,8.05E-05,"Entry Bytes EB"
55," Entry_Point_Byte_8","N",,6.01E-05,5.49E-05,6.52E-05,4.98E-05,8.05E-05,"Entry Bytes EB"
56," Entry_Point_Byte_9","N",,6.01E-05,5.49E-05,6.52E-05,4.98E-05,8.05E-05,"Entry Bytes EB"
57," Entry_Point_Byte_10","N",,6.01E-05,5.49E-05,6.52E-05,4.98E-05,8.05E-05,"Entry Bytes EB"
58," Entry_Point_Byte_11","N",,6.01E-05,5.49E-05,6.52E-05,4.98E-05,8.05E-05,"Entry Bytes EB"
59," Entry_Point_Byte_12","N",,6.01E-05,5.49E-05,6.52E-05,4.98E-05,8.05E-05,"Entry Bytes EB"
60," Entry_Point_Byte_13","N",,6.01E-05,5.49E-05,6.52E-05,4.98E-05,8.05E-05,"Entry Bytes EB"
61," Entry_Point_Byte_14","N",,6.01E-05,5.49E-05,6.52E-05,4.98E-05,8.05E-05,"Entry Bytes EB"
62," Entry_Point_Byte_15","N",,6.01E-05,5.49E-05,6.52E-05,4.98E-05,8.05E-05,"Entry Bytes EB"
63," Entry_Point_Byte_16","N",,6.01E-05,5.49E-05,6.52E-05,4.98E-05,8.05E-05,"Entry Bytes EB"
64," Entry_Point_Byte_17","N",,6.01E-05,5.49E-05,6.52E-05,4.98E-05,8.05E-05,"Entry Bytes EB"
65," Entry_Point_Byte_18","N",,6.01E-05,5.49E-05,6.52E-05,4.98E-05,8.05E-05,"Entry Bytes EB"
66," Entry_Point_Byte_19","N",,6.01E-05,5.49E-05,6.52E-05,4.98E-05,8.05E-05,"Entry Bytes EB"
67," Entry_Point_Byte_20","N",,6.01E-05,5.49E-05,6.52E-05,4.98E-05,8.05E-05,"Entry Bytes EB"
68," Entry_Point_Byte_21","N",,6.01E-05,5.49E-05,6.52E-05,4.98E-05,8.05E-05,"Entry Bytes EB"
69," Entry_Point_Byte_22","N",,6.01E-05,5.49E-05,6.52E-05,4.98E-05,8.05E-05,"Entry Bytes EB"
70," Entry_Point_Byte_23","N",,6.01E-05,5.49E-05,6.52E-05,4.98E-05,8.05E-05,"Entry Bytes EB"
71," Entry_Point_Byte_24","N",,6.01E-05,5.49E-05,6.52E-05,4.98E-05,8.05E-05,"Entry Bytes EB"
72," Entry_Point_Byte_25","N",,6.01E-05,5.49E-05,6.52E-05,4.98E-05,8.05E-05,"Entry Bytes EB"
73," Entry_Point_Byte_26","N",,6.01E-05,5.49E-05,6.52E-05,4.98E-05,8.05E-05,"Entry Bytes EB"
74," Entry_Point_Byte_27","N",,6.01E-05,5.49E-05,6.52E-05,4.98E-05,8.05E-05,"Entry Bytes EB"
75," Entry_Point_Byte_28","N",,6.01E-05,5.49E-05,6.52E-05,4.98E-05,8.05E-05,"Entry Bytes EB"
76," Entry_Point_Byte_29","N",,6.01E-05,5.49E-05,6.52E-05,4.98E-05,8.05E-05,"Entry Bytes EB"
77," Entry_Point_Byte_30","N",,6.01E-05,5.49E-05,6.52E-05,4.98E-05,8.05E-05,"Entry Bytes EB"
78," Entry_Point_Byte_31","N",,6.01E-05,5.49E-05,6.52E-05,4.98E-05,8.05E-05,"Entry Bytes EB"
79," Entry_Point_Byte_32","N",,6.01E-05,5.49E-05,6.52E-05,4.98E-05,8.05E-05,"Entry Bytes EB"
80," Entry_Point_Byte_33","N",,6.01E-05,5.49E-05,6.52E-05,4.98E-05,8.05E-05,"Entry Bytes EB"
81," Entry_Point_Byte_34","N",,6.01E-05,5.49E-05,6.52E-05,4.98E-05,8.05E-05,"Entry Bytes EB"
82," Entry_Point_Byte_35","N",,6.01E-05,5.49E-05,6.52E-05,4.98E-05,8.05E-05,"Entry Bytes EB"
83," Entry_Point_Byte_36","N",,6.01E-05,5.49E-05,6.52E-05,4.98E-05,8.05E-05,"Entry Bytes EB"
84," Entry_Point_Byte_37","N",,6.01E-05,5.49E-05,6.52E-05,4.98E-05,8.05E-05,"Entry Bytes EB"
85," Entry_Point_Byte_38","N",,6.01E-05,5.49E-05,6.52E-05,4.98E-05,8.05E-05,"Entry Bytes EB"
86," Entry_Point_Byte_39","N",,6.01E-05,5.49E-05,6.52E-05,4.98E-05,8.05E-05,"Entry Bytes EB"
