#,Feature,Partition,nbins,Time Cost Median,Time Cost Low Quartile,Time Cost High Quartile,Time Cost Low Whisker,Time Cost High Whisker,Group
5, DLLs_6,B,,6.64e-07,6.11e-07,7.14e-07,5.6e-07,8.68e-07,Metadata ME
8, Checksum,Q,4.0,6.64e-07,6.11e-07,7.14e-07,5.6e-07,8.68e-07,Metadata ME
11, OS_Major_version,Q,3.0,6.64e-07,6.11e-07,7.14e-07,5.6e-07,8.68e-07,Metadata ME
14, Size_of_Code,Q1,9.0,6.64e-07,6.11e-07,7.14e-07,5.6e-07,8.68e-07,Metadata ME
15, Headers,N,,6.64e-07,6.11e-07,7.14e-07,5.6e-07,8.68e-07,Metadata ME
16, Size_Of_InitializedData,Q1,9.0,6.64e-07,6.11e-07,7.14e-07,5.6e-07,8.68e-07,Metadata ME
19, Size_of_Stack_Commit,Q,15.0,6.64e-07,6.11e-07,7.14e-07,5.6e-07,8.68e-07,Metadata ME
20, Section_Alignment,N,,6.64e-07,6.11e-07,7.14e-07,5.6e-07,8.68e-07,Metadata ME
27, number_of_readable_and_executable_sections,F,5.0,2.38e-05,1.79e-05,3.06e-05,1.16e-05,4.97e-05,Section SE
29, number_of_Writable_and_Readable_and_Executable_sections_PE_holds,F,5.0,2.38e-05,1.79e-05,3.06e-05,1.16e-05,4.97e-05,Section SE
30, code_section_is_not_executable,B,,2.38e-05,1.79e-05,3.06e-05,1.16e-05,4.97e-05,Section SE
34, EP_is_not_in_a_standard_section,B,,2.38e-05,1.79e-05,3.06e-05,1.16e-05,4.97e-05,Section SE
35, EP_is_not_in_an_executable_section,B,,2.38e-05,1.79e-05,3.06e-05,1.16e-05,4.97e-05,Section SE
36, EP_ratio_between_raw_data_and_virtual_size_for_section_of_entry_point,Q,10.0,2.38e-05,1.79e-05,3.06e-05,1.16e-05,4.97e-05,Section SE
37, number_of_sections_having_their_physical_size_=0_(size_on_disk),F,3.0,2.38e-05,1.79e-05,3.06e-05,1.16e-05,4.97e-05,Section SE
39, maximum_ratio_raw_data_per_virtual_size_among_all_sections,Q,10.0,2.38e-05,1.79e-05,3.06e-05,1.16e-05,4.97e-05,Section SE
40, minimum_ratio_raw_data_per_virtual_size_among_all_sections,Q1,4.0,2.38e-05,1.79e-05,3.06e-05,1.16e-05,4.97e-05,Section SE
41, address_pointing_to_raw_data_on_disk_is_not_conforming_with_file_alignement,B,,2.38e-05,1.79e-05,3.06e-05,1.16e-05,4.97e-05,Section SE
45, entropy_of_PE_header,Q,6.0,0.00993818,0.00335284,0.0351854,4.5e-05,0.082931,Byte Entropy BE
48, Entry_Point_Byte_1,N,,6.01e-05,5.49e-05,6.52e-05,4.98e-05,8.05e-05,Entry Bytes EB
50, Entry_Point_Byte_3,N,,6.01e-05,5.49e-05,6.52e-05,4.98e-05,8.05e-05,Entry Bytes EB
54, Entry_Point_Byte_7,N,,6.01e-05,5.49e-05,6.52e-05,4.98e-05,8.05e-05,Entry Bytes EB
55, Entry_Point_Byte_8,N,,6.01e-05,5.49e-05,6.52e-05,4.98e-05,8.05e-05,Entry Bytes EB
90, Entry_Point_Byte_43,N,,6.01e-05,5.49e-05,6.52e-05,4.98e-05,8.05e-05,Entry Bytes EB
94, Entry_Point_Byte_47,N,,6.01e-05,5.49e-05,6.52e-05,4.98e-05,8.05e-05,Entry Bytes EB
98, Entry_Point_Byte_51,N,,6.01e-05,5.49e-05,6.52e-05,4.98e-05,8.05e-05,Entry Bytes EB
105, Entry_Point_Byte_58,N,,6.01e-05,5.49e-05,6.52e-05,4.98e-05,8.05e-05,Entry Bytes EB
114, number_of_malicious_APIs_imported,Q,6.0,0.362323,0.256188,0.479456,0.14456,0.814357,Import Functions IF
117, debug_directory_is_present_or_not,B,,0.177106,5.95e-07,0.28685,1.91e-07,0.717121,Resource RE
