#,Feature,Partition,nbins,Time Cost Median,Time Cost Low Quartile,Time Cost High Quartile,Time Cost Low Whisker,Time Cost High Whisker,Group
4, DLLs_5,B,,6.64e-07,6.11e-07,7.14e-07,5.6e-07,8.68e-07,Metadata ME
8, Checksum,Q,4.0,6.64e-07,6.11e-07,7.14e-07,5.6e-07,8.68e-07,Metadata ME
10, Base_of_Code,Q,6.0,6.64e-07,6.11e-07,7.14e-07,5.6e-07,8.68e-07,Metadata ME
13, Size_of_Image,Q,10.0,6.64e-07,6.11e-07,7.14e-07,5.6e-07,8.68e-07,Metadata ME
14, Size_of_Code,Q1,9.0,6.64e-07,6.11e-07,7.14e-07,5.6e-07,8.68e-07,Metadata ME
16, Size_Of_InitializedData,Q1,9.0,6.64e-07,6.11e-07,7.14e-07,5.6e-07,8.68e-07,Metadata ME
17, Size_Of_UninitializedData,Q1,4.0,6.64e-07,6.11e-07,7.14e-07,5.6e-07,8.68e-07,Metadata ME
18, Size_Of_StackReserve,Q,4.0,6.64e-07,6.11e-07,7.14e-07,5.6e-07,8.68e-07,Metadata ME
23, ratio_between_number_of_standards_sections_found_and_number_of_all_sections_found_in_PE_under_analysis,Q5,8.0,2.38e-05,1.79e-05,3.06e-05,1.16e-05,4.97e-05,Section SE
32, code_section_is_not_present_in_PE_under_analysis,B,,2.38e-05,1.79e-05,3.06e-05,1.16e-05,4.97e-05,Section SE
34, EP_is_not_in_a_standard_section,B,,2.38e-05,1.79e-05,3.06e-05,1.16e-05,4.97e-05,Section SE
45, entropy_of_PE_header,Q,6.0,0.00993818,0.00335284,0.0351854,4.5e-05,0.082931,Byte Entropy BE
47, entropy_of_section_holding_Entry_point_(EP)_of_PE_under_analysis,Q,6.0,0.00993818,0.00335284,0.0351854,4.5e-05,0.082931,Byte Entropy BE
53, Entry_Point_Byte_6,N,,6.01e-05,5.49e-05,6.52e-05,4.98e-05,8.05e-05,Entry Bytes EB
56, Entry_Point_Byte_9,N,,6.01e-05,5.49e-05,6.52e-05,4.98e-05,8.05e-05,Entry Bytes EB
57, Entry_Point_Byte_10,N,,6.01e-05,5.49e-05,6.52e-05,4.98e-05,8.05e-05,Entry Bytes EB
68, Entry_Point_Byte_21,N,,6.01e-05,5.49e-05,6.52e-05,4.98e-05,8.05e-05,Entry Bytes EB
80, Entry_Point_Byte_33,N,,6.01e-05,5.49e-05,6.52e-05,4.98e-05,8.05e-05,Entry Bytes EB
81, Entry_Point_Byte_34,N,,6.01e-05,5.49e-05,6.52e-05,4.98e-05,8.05e-05,Entry Bytes EB
82, Entry_Point_Byte_35,N,,6.01e-05,5.49e-05,6.52e-05,4.98e-05,8.05e-05,Entry Bytes EB
83, Entry_Point_Byte_36,N,,6.01e-05,5.49e-05,6.52e-05,4.98e-05,8.05e-05,Entry Bytes EB
86, Entry_Point_Byte_39,N,,6.01e-05,5.49e-05,6.52e-05,4.98e-05,8.05e-05,Entry Bytes EB
90, Entry_Point_Byte_43,N,,6.01e-05,5.49e-05,6.52e-05,4.98e-05,8.05e-05,Entry Bytes EB
92, Entry_Point_Byte_45,N,,6.01e-05,5.49e-05,6.52e-05,4.98e-05,8.05e-05,Entry Bytes EB
94, Entry_Point_Byte_47,N,,6.01e-05,5.49e-05,6.52e-05,4.98e-05,8.05e-05,Entry Bytes EB
104, Entry_Point_Byte_57,N,,6.01e-05,5.49e-05,6.52e-05,4.98e-05,8.05e-05,Entry Bytes EB
108, Entry_Point_Byte_61,N,,6.01e-05,5.49e-05,6.52e-05,4.98e-05,8.05e-05,Entry Bytes EB
109, Entry_Point_Byte_62,N,,6.01e-05,5.49e-05,6.52e-05,4.98e-05,8.05e-05,Entry Bytes EB
118, number_of_resources_PE_holds,Q,9.0,0.177106,5.95e-07,0.28685,1.91e-07,0.717121,Resource RE
