#,Feature,Partition,nbins,Time Cost Median,Time Cost Low Quartile,Time Cost High Quartile,Time Cost Low Whisker,Time Cost High Whisker,Group
0, DLLs_1,B,,6.64e-07,6.11e-07,7.14e-07,5.6e-07,8.68e-07,Metadata ME
1, DLLs_2,B,,6.64e-07,6.11e-07,7.14e-07,5.6e-07,8.68e-07,Metadata ME
3, DLLs_4,B,,6.64e-07,6.11e-07,7.14e-07,5.6e-07,8.68e-07,Metadata ME
4, DLLs_5,B,,6.64e-07,6.11e-07,7.14e-07,5.6e-07,8.68e-07,Metadata ME
6, DLLs_7,B,,6.64e-07,6.11e-07,7.14e-07,5.6e-07,8.68e-07,Metadata ME
7, DLLs_8,B,,6.64e-07,6.11e-07,7.14e-07,5.6e-07,8.68e-07,Metadata ME
8, Checksum,Q,4.0,6.64e-07,6.11e-07,7.14e-07,5.6e-07,8.68e-07,Metadata ME
10, Base_of_Code,Q,6.0,6.64e-07,6.11e-07,7.14e-07,5.6e-07,8.68e-07,Metadata ME
12, OS_Minor_version,Q,4.0,6.64e-07,6.11e-07,7.14e-07,5.6e-07,8.68e-07,Metadata ME
13, Size_of_Image,Q,10.0,6.64e-07,6.11e-07,7.14e-07,5.6e-07,8.68e-07,Metadata ME
14, Size_of_Code,Q1,9.0,6.64e-07,6.11e-07,7.14e-07,5.6e-07,8.68e-07,Metadata ME
16, Size_Of_InitializedData,Q1,9.0,6.64e-07,6.11e-07,7.14e-07,5.6e-07,8.68e-07,Metadata ME
17, Size_Of_UninitializedData,Q1,4.0,6.64e-07,6.11e-07,7.14e-07,5.6e-07,8.68e-07,Metadata ME
18, Size_Of_StackReserve,Q,4.0,6.64e-07,6.11e-07,7.14e-07,5.6e-07,8.68e-07,Metadata ME
19, Size_of_Stack_Commit,Q,15.0,6.64e-07,6.11e-07,7.14e-07,5.6e-07,8.68e-07,Metadata ME
21, number_of_standards_sections_PE_holds,N,,2.38e-05,1.79e-05,3.06e-05,1.16e-05,4.97e-05,Section SE
22, number_of_non-standards_sections_PE_holds,N,,2.38e-05,1.79e-05,3.06e-05,1.16e-05,4.97e-05,Section SE
24, number_of_Executable_sections_PE_holds,F,5.0,2.38e-05,1.79e-05,3.06e-05,1.16e-05,4.97e-05,Section SE
26, number_of_Writable_and_Executable_sections_PE_holds,F,5.0,2.38e-05,1.79e-05,3.06e-05,1.16e-05,4.97e-05,Section SE
27, number_of_readable_and_executable_sections,F,5.0,2.38e-05,1.79e-05,3.06e-05,1.16e-05,4.97e-05,Section SE
28, number_of_readable_and_writable_sections,Q,8.0,2.38e-05,1.79e-05,3.06e-05,1.16e-05,4.97e-05,Section SE
29, number_of_Writable_and_Readable_and_Executable_sections_PE_holds,F,5.0,2.38e-05,1.79e-05,3.06e-05,1.16e-05,4.97e-05,Section SE
30, code_section_is_not_executable,B,,2.38e-05,1.79e-05,3.06e-05,1.16e-05,4.97e-05,Section SE
31, executable_section_is_not_a_code_section,B,,2.38e-05,1.79e-05,3.06e-05,1.16e-05,4.97e-05,Section SE
34, EP_is_not_in_a_standard_section,B,,2.38e-05,1.79e-05,3.06e-05,1.16e-05,4.97e-05,Section SE
35, EP_is_not_in_an_executable_section,B,,2.38e-05,1.79e-05,3.06e-05,1.16e-05,4.97e-05,Section SE
36, EP_ratio_between_raw_data_and_virtual_size_for_section_of_entry_point,Q,10.0,2.38e-05,1.79e-05,3.06e-05,1.16e-05,4.97e-05,Section SE
40, minimum_ratio_raw_data_per_virtual_size_among_all_sections,Q1,4.0,2.38e-05,1.79e-05,3.06e-05,1.16e-05,4.97e-05,Section SE
43, entropy_of_data_section,Q1,4.0,0.00993818,0.00335284,0.0351854,4.5e-05,0.082931,Byte Entropy BE
44, entropy_of_resource_section,Q,10.0,0.00993818,0.00335284,0.0351854,4.5e-05,0.082931,Byte Entropy BE
46, entropy_of_entire_PE_file,Q,10.0,0.00993818,0.00335284,0.0351854,4.5e-05,0.082931,Byte Entropy BE
112, number_of_DLLs_imported,Q2,7.0,0.362323,0.256188,0.479456,0.14456,0.814357,Import Functions IF
116, number_of_addresses_(corresponds_to_functions)_found_in_import_address_table_(IAT),Q3,3.0,0.362323,0.256188,0.479456,0.14456,0.814357,Import Functions IF
117, debug_directory_is_present_or_not,B,,0.177106,5.95e-07,0.28685,1.91e-07,0.717121,Resource RE
