LabelC,LabelN,minsup,minsupWoEB,minsup10
alienyze,0,1,0.8,0.1
amber,1,1,1,0.1
armadillo,2,1,1,0.1
aspack,3,1,0.35,0.1
bero,4,1,1,0.1
enigma,5,1,1,0.1
enigmavb,6,1,1,0.1
eronana,7,1,1,0.1
exe32pack,8,0.9,0.9,0.1
expressor,9,1,1,0.1
fsg,10,1,1,0.1
jdpack,11,1,1,0.1
kkrunchy,12,1,1,0.1
mew,13,1,1,0.1
molebox,14,1,1,0.1
mpress,15,1,0.6,0.1
neolite,16,1,0.8,0.1
not packed,17,0.6,0.6,0.6
nspack,18,1,1,0.1
packman,19,1,0.55,0.1
pecompact,20,1,0.95,0.1
petite,21,1,0.15,0.1
rlpack,22,1,1,0.1
telock,23,1,1,0.1
themida,24,1,1,0.1
upx,25,0.85,0.85,0.1
vmprotect,26,0.95,0.95,0.1
winupack,27,0.55,0.4,0.1
yoda-crypter,28,1,0.8,0.1
yoda-protector,29,1,0.95,0.1
