#,Feature,Partition,nbins,Time Cost Median,Time Cost Low Quartile,Time Cost High Quartile,Time Cost Low Whisker,Time Cost High Whisker,Group
2, DLLs_3,B,,6.64e-07,6.11e-07,7.14e-07,5.6e-07,8.68e-07,Metadata ME
4, DLLs_5,B,,6.64e-07,6.11e-07,7.14e-07,5.6e-07,8.68e-07,Metadata ME
5, DLLs_6,B,,6.64e-07,6.11e-07,7.14e-07,5.6e-07,8.68e-07,Metadata ME
6, DLLs_7,B,,6.64e-07,6.11e-07,7.14e-07,5.6e-07,8.68e-07,Metadata ME
7, DLLs_8,B,,6.64e-07,6.11e-07,7.14e-07,5.6e-07,8.68e-07,Metadata ME
11, OS_Major_version,Q,3.0,6.64e-07,6.11e-07,7.14e-07,5.6e-07,8.68e-07,Metadata ME
21, number_of_standards_sections_PE_holds,N,,2.38e-05,1.79e-05,3.06e-05,1.16e-05,4.97e-05,Section SE
22, number_of_non-standards_sections_PE_holds,N,,2.38e-05,1.79e-05,3.06e-05,1.16e-05,4.97e-05,Section SE
24, number_of_Executable_sections_PE_holds,F,5.0,2.38e-05,1.79e-05,3.06e-05,1.16e-05,4.97e-05,Section SE
25, number_of_Writable_sections_PE_holds,Q,7.0,2.38e-05,1.79e-05,3.06e-05,1.16e-05,4.97e-05,Section SE
26, number_of_Writable_and_Executable_sections_PE_holds,F,5.0,2.38e-05,1.79e-05,3.06e-05,1.16e-05,4.97e-05,Section SE
28, number_of_readable_and_writable_sections,Q,8.0,2.38e-05,1.79e-05,3.06e-05,1.16e-05,4.97e-05,Section SE
29, number_of_Writable_and_Readable_and_Executable_sections_PE_holds,F,5.0,2.38e-05,1.79e-05,3.06e-05,1.16e-05,4.97e-05,Section SE
30, code_section_is_not_executable,B,,2.38e-05,1.79e-05,3.06e-05,1.16e-05,4.97e-05,Section SE
31, executable_section_is_not_a_code_section,B,,2.38e-05,1.79e-05,3.06e-05,1.16e-05,4.97e-05,Section SE
32, code_section_is_not_present_in_PE_under_analysis,B,,2.38e-05,1.79e-05,3.06e-05,1.16e-05,4.97e-05,Section SE
33, EP_is_not_in_code_section,B,,2.38e-05,1.79e-05,3.06e-05,1.16e-05,4.97e-05,Section SE
34, EP_is_not_in_a_standard_section,B,,2.38e-05,1.79e-05,3.06e-05,1.16e-05,4.97e-05,Section SE
35, EP_is_not_in_an_executable_section,B,,2.38e-05,1.79e-05,3.06e-05,1.16e-05,4.97e-05,Section SE
36, EP_ratio_between_raw_data_and_virtual_size_for_section_of_entry_point,Q,10.0,2.38e-05,1.79e-05,3.06e-05,1.16e-05,4.97e-05,Section SE
37, number_of_sections_having_their_physical_size_=0_(size_on_disk),F,3.0,2.38e-05,1.79e-05,3.06e-05,1.16e-05,4.97e-05,Section SE
38, number_of_sections_having_their_virtual_size_greater_than_their_raw_data_size,F,7.0,2.38e-05,1.79e-05,3.06e-05,1.16e-05,4.97e-05,Section SE
41, address_pointing_to_raw_data_on_disk_is_not_conforming_with_file_alignement,B,,2.38e-05,1.79e-05,3.06e-05,1.16e-05,4.97e-05,Section SE
42, entropy_of_Code/text_sections,Q1,4.0,0.00993818,0.00335284,0.0351854,4.5e-05,0.082931,Byte Entropy BE
45, entropy_of_PE_header,Q,6.0,0.00993818,0.00335284,0.0351854,4.5e-05,0.082931,Byte Entropy BE
47, entropy_of_section_holding_Entry_point_(EP)_of_PE_under_analysis,Q,6.0,0.00993818,0.00335284,0.0351854,4.5e-05,0.082931,Byte Entropy BE
112, number_of_DLLs_imported,Q2,7.0,0.362323,0.256188,0.479456,0.14456,0.814357,Import Functions IF
114, number_of_malicious_APIs_imported,Q,6.0,0.362323,0.256188,0.479456,0.14456,0.814357,Import Functions IF
115, ratio_between_number_of_malicious_APIs_imported_to_number_of_all_functions_imported_by_PE,Q,10.0,0.362323,0.256188,0.479456,0.14456,0.814357,Import Functions IF
