#,Feature,Partition,nbins,Time Cost Median,Time Cost Low Quartile,Time Cost High Quartile,Time Cost Low Whisker,Time Cost High Whisker,Group
0, DLLs_1,B,,6.64e-07,6.11e-07,7.14e-07,5.6e-07,8.68e-07,Metadata ME
1, DLLs_2,B,,6.64e-07,6.11e-07,7.14e-07,5.6e-07,8.68e-07,Metadata ME
3, DLLs_4,B,,6.64e-07,6.11e-07,7.14e-07,5.6e-07,8.68e-07,Metadata ME
4, DLLs_5,B,,6.64e-07,6.11e-07,7.14e-07,5.6e-07,8.68e-07,Metadata ME
5, DLLs_6,B,,6.64e-07,6.11e-07,7.14e-07,5.6e-07,8.68e-07,Metadata ME
8, Checksum,Q,4.0,6.64e-07,6.11e-07,7.14e-07,5.6e-07,8.68e-07,Metadata ME
10, Base_of_Code,Q,6.0,6.64e-07,6.11e-07,7.14e-07,5.6e-07,8.68e-07,Metadata ME
11, OS_Major_version,Q,3.0,6.64e-07,6.11e-07,7.14e-07,5.6e-07,8.68e-07,Metadata ME
13, Size_of_Image,Q,10.0,6.64e-07,6.11e-07,7.14e-07,5.6e-07,8.68e-07,Metadata ME
14, Size_of_Code,Q1,9.0,6.64e-07,6.11e-07,7.14e-07,5.6e-07,8.68e-07,Metadata ME
16, Size_Of_InitializedData,Q1,9.0,6.64e-07,6.11e-07,7.14e-07,5.6e-07,8.68e-07,Metadata ME
18, Size_Of_StackReserve,Q,4.0,6.64e-07,6.11e-07,7.14e-07,5.6e-07,8.68e-07,Metadata ME
20, Section_Alignment,N,,6.64e-07,6.11e-07,7.14e-07,5.6e-07,8.68e-07,Metadata ME
21, number_of_standards_sections_PE_holds,N,,2.38e-05,1.79e-05,3.06e-05,1.16e-05,4.97e-05,Section SE
22, number_of_non-standards_sections_PE_holds,N,,2.38e-05,1.79e-05,3.06e-05,1.16e-05,4.97e-05,Section SE
23, ratio_between_number_of_standards_sections_found_and_number_of_all_sections_found_in_PE_under_analysis,Q5,8.0,2.38e-05,1.79e-05,3.06e-05,1.16e-05,4.97e-05,Section SE
24, number_of_Executable_sections_PE_holds,F,5.0,2.38e-05,1.79e-05,3.06e-05,1.16e-05,4.97e-05,Section SE
25, number_of_Writable_sections_PE_holds,Q,7.0,2.38e-05,1.79e-05,3.06e-05,1.16e-05,4.97e-05,Section SE
26, number_of_Writable_and_Executable_sections_PE_holds,F,5.0,2.38e-05,1.79e-05,3.06e-05,1.16e-05,4.97e-05,Section SE
27, number_of_readable_and_executable_sections,F,5.0,2.38e-05,1.79e-05,3.06e-05,1.16e-05,4.97e-05,Section SE
28, number_of_readable_and_writable_sections,Q,8.0,2.38e-05,1.79e-05,3.06e-05,1.16e-05,4.97e-05,Section SE
34, EP_is_not_in_a_standard_section,B,,2.38e-05,1.79e-05,3.06e-05,1.16e-05,4.97e-05,Section SE
36, EP_ratio_between_raw_data_and_virtual_size_for_section_of_entry_point,Q,10.0,2.38e-05,1.79e-05,3.06e-05,1.16e-05,4.97e-05,Section SE
37, number_of_sections_having_their_physical_size_=0_(size_on_disk),F,3.0,2.38e-05,1.79e-05,3.06e-05,1.16e-05,4.97e-05,Section SE
38, number_of_sections_having_their_virtual_size_greater_than_their_raw_data_size,F,7.0,2.38e-05,1.79e-05,3.06e-05,1.16e-05,4.97e-05,Section SE
40, minimum_ratio_raw_data_per_virtual_size_among_all_sections,Q1,4.0,2.38e-05,1.79e-05,3.06e-05,1.16e-05,4.97e-05,Section SE
42, entropy_of_Code/text_sections,Q1,4.0,0.00993818,0.00335284,0.0351854,4.5e-05,0.082931,Byte Entropy BE
44, entropy_of_resource_section,Q,10.0,0.00993818,0.00335284,0.0351854,4.5e-05,0.082931,Byte Entropy BE
46, entropy_of_entire_PE_file,Q,10.0,0.00993818,0.00335284,0.0351854,4.5e-05,0.082931,Byte Entropy BE
47, entropy_of_section_holding_Entry_point_(EP)_of_PE_under_analysis,Q,6.0,0.00993818,0.00335284,0.0351854,4.5e-05,0.082931,Byte Entropy BE
113, number_of_functions_imported_found_in_import_table_directory_(IDT),Q2,8.0,0.362323,0.256188,0.479456,0.14456,0.814357,Import Functions IF
115, ratio_between_number_of_malicious_APIs_imported_to_number_of_all_functions_imported_by_PE,Q,10.0,0.362323,0.256188,0.479456,0.14456,0.814357,Import Functions IF
117, debug_directory_is_present_or_not,B,,0.177106,5.95e-07,0.28685,1.91e-07,0.717121,Resource RE
118, number_of_resources_PE_holds,Q,9.0,0.177106,5.95e-07,0.28685,1.91e-07,0.717121,Resource RE
